name_original,name_corrected,Match,HMDB,PubChem,ChEBI,KEGG,METLIN,SMILES,Comment
PC 37:3,PC(37:3),PC(37:3),L33,NA,NA,NA,NA,NA,1
PC 37:4,PC(37:4),PC(37:4),HMDB0008625,52923617,NA,C00157,NA,CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 37:6,PC(37:6),PC(37:6),HMDB0008724,52923679,NA,C00157,NA,CCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 38:0,PC(38:0),PC(14:0/24:0),HMDB0007893,24778642,NA,C00157,NA,CCCCCCCCCCCCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCCCCCCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 38:1,PC(38:1),PC(14:0/24:1(15Z)),HMDB0007894,24778643,NA,C00157,NA,CCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC/C=C\CCCCCCCC,1
PC 38:2,PC(38:2),PC(14:1(9Z)/24:1(15Z)),HMDB0007927,53478637,NA,C00157,NA,CCCCCCCC/C=C\CCCCCCCCCCCCCC(=O)O[C@H](COC(=O)CCCCCCC/C=C\CCCC)COP(=O)([O-])OCC[N+](C)(C)C,1
PC 38:3,PC(38:3),"PC(16:1(9Z)/22:2(13Z,16Z))",HMDB0008020,52922473,NA,C00157,NA,CCCCCC/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCC/C=C\C/C=C\CCCCC,1
PC 38:4,PC(38:4),"PC(16:0/22:4(7Z,10Z,13Z,16Z))",HMDB0007988,24778732,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC 38:5,PC(38:5),"PC(16:0/22:5(4Z,7Z,10Z,13Z,16Z))",HMDB0007989,24778735,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCCC,1
PC 38:6,PC(38:6),"PC(16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",HMDB0007991,6441886,NA,C00157,NA,CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CC,1
