iph_cir_fc,iph_hc_fc,iph_cir_p,iph_hc_p,metabolite
-1.147588757,-1.063815047,0.719163151,0.999996517,PI(18:0/20:3)
-1.04685489,-1.211328989,0.999947723,0.162064329,PI(18:0/20:4)
-1.239898688,1.145311168,0.466700018,0.806769837,PI(16:0/20:4)
1.044983446,-1.09522138,0.999947723,0.829468246,PI(18:0/22:6)
-1.611540748,-1.13011315,0.002675319,0.76067552,DG(32:0)
-2.177014631,-1.542502146,0.001984301,0.119310981,DG(32:1)
-2.537606267,-1.972647238,0.003451397,0.050064417,DG(32:2)
-1.119350503,-1.077307574,0.187611339,0.525829194,DG(34:0)
-1.743939585,-1.183506959,0.001984301,0.609301557,DG(34:1)
-1.873138613,-1.190306182,0.004710333,0.75577133,DG(34:2)
-1.439531015,-1.180181843,0.058779839,0.646884238,DG(36:2)
-1.228785867,-1.072927678,0.844735086,0.999996517,DG(36:3)
1.331587037,1.012455845,0.763974368,0.999996517,DG(36:4)
-2.219668416,-1.692717709,0.027670473,0.226686611,DG(36:4)
-1.223663701,-1.091704371,0.460304745,0.987728703,14:0 amide
-1.199419881,-1.11850041,0.058779839,0.364174274,16:0 amide
-1.469841536,-1.081606122,0.088204694,0.999996517,18:0 amide
1.083868691,-1.062771528,0.93031045,0.999996517,18:1n-9 amide
-1.041324728,-1.047929576,0.999947723,0.999996517,20:0 amide
-1.014445714,-1.013215796,0.999947723,0.999996517,
1.150865825,1.211431386,0.783750844,0.48992183,
1.009348309,-1.048877758,0.999947723,0.999996517,
-1.026096036,-1.0231013,0.999947723,0.999996517,22:0 amide
-1.008295071,-1.018197151,0.999947723,0.999996517,
1.013964286,-1.011819282,0.999947723,0.999996517,
-1.016254535,-1.01110177,0.999947723,0.999996517,
-1.393623039,1.432423395,0.479475877,0.364174274,14:0
-1.153564934,1.272938851,0.662750053,0.175127137,16:0
-1.541213038,1.949033418,0.317200362,0.050538181,16:1n-7
-1.965608282,1.109821656,0.00561409,0.999996517,16:1n-9
-1.447845323,-1.013197307,0.039861753,0.999996517,
-1.157736003,-1.031986912,0.12619421,0.999996517,18:0
-1.250448116,1.442749289,0.476919262,0.083691119,18:1n-9
-1.225818201,-1.165169468,0.662750053,0.829365331,
1.9290591,-1.664621022,0.116454663,0.290371122,
-1.233684569,1.218301067,0.303941717,0.339999901,18:2n-6
-1.453262278,1.084738607,0.121276009,0.999996517,
-1.61425275,-1.078978071,0.071472437,0.999996517,18:2n-6 trans
-1.112287919,1.380444287,0.991943785,0.336475482,18:3n-3
-1.085648356,1.373819011,0.999947723,0.285218307,18:3n-6
-1.823110607,1.245318114,0.004710333,0.524068591,20:1n-6
1.456355817,-1.457085222,0.156999634,0.150945163,20:1n-9
-1.664569554,1.120281417,0.003451397,0.863324032,20:2n-6
-1.09746008,1.124928926,0.823424885,0.638390061,20:3n-3
-1.491291202,-1.033662571,0.003369922,0.999996517,
-1.891117562,1.034956976,0.000643085,0.999996517,20:3n-9
-1.256179603,-1.330277072,0.015048129,0.000988383,20:4n-6
-2.743314439,-1.533514854,0.002176231,0.326049465,
-1.933792025,1.056017414,0.001984301,0.999996517,20:4n-3
1.023642066,-1.029553138,0.999947723,0.999996517,20:5n-3
-1.620935557,1.159833721,0.004113978,0.669929484,22:4n-6
-1.689398426,1.041539792,0.003451397,0.999996517,22:5n-3
-1.518305786,1.509189661,0.085480608,0.091359237,22:5n-6
-1.575961488,-1.000236768,0.000652187,0.999996517,22:6n-3
-1.456621344,1.507205637,0.341286851,0.255365763,12:0
-1.117611779,1.247914873,0.928681961,0.48992183,"16:2n-4,7"
-1.071051765,1.267511989,0.999947723,0.447035255,15:0
-1.299106165,-1.18917678,0.101693412,0.391341451,17:0
-1.600191676,1.42720701,0.0847737,0.255365763,
-1.030373211,-1.013466803,0.999947723,0.999996517,20:0
-1.203695566,1.301120869,0.097966285,0.007545503,24:1n-9
-1.396597478,1.981832349,0.654319909,0.06897292,14:1n-5
-1.644802596,1.339578145,0.113842889,0.519797716,
-1.596836136,1.039248814,0.13926636,0.999996517,18:4n-3
1.263013791,1.067039151,0.209071922,0.999996517,
-1.375092193,1.425819405,0.339830353,0.237221123,
-1.649975621,1.16910902,0.044911685,0.863324032,
-1.607674377,1.197313616,0.000159381,0.245883046,
-1.902337327,1.067358983,0.00012857,0.999996517,
-1.624319287,1.716087678,0.011847904,0.003166374,
-1.132547879,1.292864313,0.922648546,0.415877735,
-1.846844085,1.524615477,0.013756139,0.132907863,
-1.388213781,-1.640374182,0.433428418,0.104779093,15-HETE
-1.839049913,-4.172694852,0.291882992,0.000428163,12-HETE
