"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Hypoxanthine",-0.07386,0.049479,-0.1721,-0.14565,0.087593,0.0027455,0.12233,0.015642,-0.019062,-0.10069,-0.021981,-0.069881,-0.012131,0.040484,-0.11355,-0.042964,-0.03169,0.073012,0.12542,0.16304,0.15999,-0.10838,-0.19972,0.088675,0.03607,-0.071084,0.10531,-0.076514,-0.10605,-0.12454,-0.21411,0.022953,0.071015,-0.064773,0.010376,0.21112,0.050205,-0.040402,0.097781,-0.033112,-0.028573,-0.14812,-0.046662,-0.11774,0.11167,-0.20439,0.10975,0.047136,0.07272,0.030786,0.19919,-0.00036956,0.050974,0.12282,0.17814,0.028055,0.13793,0.026036,0.059615,-0.093784
"Indoleacetic acid",0.00043621,0.01513,0.013497,0.0068804,-0.0097156,0.015013,-0.014666,-0.00054129,-0.0065871,0.00022405,-0.00097758,0.0056746,0.0050457,-0.0083115,-0.023727,0.013815,-0.0073033,-0.012556,-0.0039107,-0.0029405,-0.015787,0.01487,0.028738,0.0016462,-0.0043302,0.0069755,-0.0067732,-0.019537,-0.047001,-0.011539,-0.075362,0.07464,0.044839,-0.060827,-0.00085919,0.021162,0.019056,0.030044,0.0050533,0.0021927,-0.012629,0.063439,-0.025275,0.066688,-0.016495,0.029191,0.014963,0.019617,0.028978,-0.17014,-0.031267,-0.017363,-0.045558,-0.043351,0.016407,-0.03644,-0.013489,-0.077296,-0.005669,0.013824
"Inosine",-0.16088,0.1311,-0.39158,-0.4585,0.10912,0.014302,0.30826,-0.031643,0.021864,0.11049,0.035059,-0.069604,0.079531,0.03954,0.081421,0.034718,0.098193,0.040317,0.15801,-0.18088,0.048802,0.072883,-0.059809,-0.093859,0.085622,-0.0019595,-0.042182,0.066028,0.028552,0.094593,0.11785,-0.016247,0.059029,-0.020465,-0.0069274,-0.15964,-0.054714,0.027569,0.023075,0.016668,-0.068887,0.1292,0.048944,0.12338,-0.028055,0.12836,-0.02628,-0.12538,0.023565,-0.082183,0.092346,0.015109,0.023819,0.019829,-0.034548,0.02034,0.025466,0.059334,0.027385,0.023581
"Inosine monophosphate",-0.017585,-0.05738,-0.15576,2.5794e-05,-0.13971,-0.0046353,0.0040124,0.081105,-0.040444,-0.058446,-0.04179,-0.0016229,-0.048013,-0.10405,0.26603,-0.032818,0.040009,-0.143,-0.080491,0.007989,0.043026,-0.23767,0.050003,0.09362,0.089004,-0.23371,0.14597,0.15656,-0.074981,-0.21129,-0.030347,0.094112,-0.057087,-0.077351,-0.05234,-0.055819,0.010843,0.097131,-0.062456,-0.096423,0.15265,0.22177,-0.15074,-0.017816,-0.079284,-0.069943,-0.0065809,0.027535,0.17497,0.09436,0.047435,0.22757,0.0274,-0.089558,-0.0032712,0.033853,-0.05658,-0.020293,0.041188,0.033119
"Inosine triphosphate",-0.026612,0.04169,-0.076263,0.029646,-0.015136,0.072275,-0.039045,-0.046233,-0.013167,0.013812,0.021018,-0.116,-0.046191,-0.022017,-0.032482,0.010438,-0.0048828,-0.041177,-0.055361,0.013491,-0.042359,0.041743,0.031418,0.051653,0.0025566,-0.038088,0.049288,-0.0079287,0.073979,-0.0070462,0.017785,0.0458,0.11728,0.087953,-0.053041,0.00058732,-0.0014259,0.052159,-0.093418,0.049995,-0.033682,0.016948,0.010312,-0.079354,0.11948,-0.034939,0.043995,-0.052385,0.0021162,0.037811,-0.062214,0.046316,0.097646,0.11573,0.017941,-0.043218,-0.051368,-0.10299,-0.0015023,-0.076183
"Isoleucine",-0.00077155,0.00073906,-0.031428,0.03508,-0.010431,0.0017927,-0.028156,-0.021177,-0.040278,0.0038609,-0.029701,0.028936,-0.046114,0.041642,0.019475,-0.0031734,0.026167,0.0051313,0.06707,0.011362,0.019977,-0.077631,-0.0024525,0.0038032,0.050123,0.0055484,-0.031858,-0.047859,0.015181,-0.070504,0.0097763,-0.10821,0.070085,-0.016581,-0.10172,0.077606,0.112,0.042068,0.0033353,0.048719,0.047018,-0.01611,-0.073402,-0.10892,0.00075171,0.018746,0.04497,-0.050307,-0.077792,-0.075295,-0.13523,-0.12276,0.068359,-0.053978,0.027297,-0.11123,-0.0055655,-0.053009,0.11612,0.095015
"Isopentyl acetate",-0.034837,0.11523,0.13234,-0.03498,0.010062,-0.0019548,0.046584,-0.012969,0.072976,0.082649,-0.028449,0.076187,0.0041071,-0.093,0.12306,-0.0017013,-0.023503,-0.072123,-0.15225,0.073347,0.0047468,-0.050389,0.019841,-0.12042,0.10161,0.023639,0.076617,-0.25045,0.10822,-0.12026,-0.20608,0.015548,0.068548,0.0091832,-0.1287,-0.087143,-0.049788,0.091915,-0.018034,0.0061717,-0.090074,-0.23526,0.07946,-0.034265,-0.010708,0.093205,-0.032751,0.053219,-0.078998,-0.096749,0.056954,0.046809,-0.033173,-0.029888,0.032839,-0.012472,0.20761,-0.16308,-0.05878,0.038913
"Isopropylmalic acid",-0.019884,0.060258,-0.012361,0.048141,-0.1212,-0.1169,-0.017783,0.08632,0.075869,0.038217,-0.092184,0.15997,-0.062344,-0.058553,0.12875,0.004682,-0.07985,-0.12694,-0.016678,-0.0035008,-0.1599,0.017427,0.14043,0.10605,0.19594,0.087173,0.093938,-0.12883,0.12288,0.096351,0.14885,-0.13426,-0.15137,-0.0089747,-0.084886,-0.17944,-0.080012,-0.040308,0.038817,-0.17524,0.014083,0.0514,-0.14742,-0.0058515,0.15791,-0.075795,-0.089397,0.13666,-0.086137,0.066729,-0.076203,-0.014649,-0.13608,-0.0024658,0.10109,-0.032452,0.1193,0.14993,-0.0060777,-0.049291
"Kynurenic acid",0.024956,-0.0062997,0.015866,0.03174,0.023205,-0.054737,-0.031033,-0.017122,-0.019849,0.060905,0.031552,-0.0022955,0.062389,0.044632,0.025294,0.031045,-0.0087299,-0.016949,0.086655,-0.064835,-0.019462,-0.041683,-0.076038,0.012321,0.02772,-0.066051,-0.016945,0.034978,-0.083786,-0.016128,0.014682,-0.12208,0.0123,-0.086554,-0.029514,-0.10057,0.09832,0.033811,0.024397,-0.021231,0.0030956,-0.10138,0.040415,-0.01298,0.032374,0.079617,-0.090426,-0.11378,-0.020767,-0.0064256,-0.12909,-0.053576,0.031427,-0.032095,0.019253,0.19657,0.11325,-0.13022,0.089836,-0.042098
"Kynurenine",0.027656,-0.012825,0.016747,0.035414,-0.021303,-0.056154,-0.0099188,-0.02136,-0.0034524,0.087934,0.036497,-0.034231,0.10229,0.014904,-5.4023e-05,0.00065889,-0.0071591,0.023485,0.091208,-0.036016,-0.0037478,-0.020819,-0.10938,0.035586,0.030209,-0.0087803,0.0051922,0.073314,-0.032205,-0.020996,-0.068237,-0.054027,0.046237,-0.20392,-0.025188,-0.15756,0.056305,0.082164,0.075323,-0.013768,0.044544,-0.044891,-0.026589,-0.041828,-0.04629,-0.03091,-0.093423,-0.080557,-0.03987,-0.075373,-0.15373,-0.074522,-0.052765,-0.1086,-0.11849,0.14166,0.072247,-0.095916,-0.016042,0.047663
"Lactic acid",-0.002543,0.0072128,-0.021939,-0.0086412,-0.0030627,0.001612,0.0078,-0.0011626,-0.016352,-0.011286,-0.013606,-0.022984,-0.00097585,-0.0005073,0.027219,0.0041444,-0.010581,-0.0066484,0.012105,-0.024326,-0.010007,-0.026203,-0.020722,0.024321,0.015831,-0.0018763,0.01311,0.017631,0.039216,0.0011268,-0.02309,9.2427e-05,0.030592,-0.0063916,0.02451,-0.0008249,-0.081115,0.0042627,0.02323,0.020975,0.044441,-0.039526,-0.0011287,0.013626,0.018927,0.017098,-0.050285,0.0096957,-0.027455,-0.02149,0.018822,-0.011355,-0.057516,-0.070388,0.017865,0.011623,-0.047319,0.019,0.0082548,-0.29273
"Leucine",0.0014494,-0.0050109,-0.022617,0.016651,-0.015281,-0.026151,-0.0492,-0.022491,-0.02116,-0.0069366,0.043337,0.058008,-0.03211,-0.0015156,-0.0059499,0.02463,-0.0031731,-0.0067385,0.056371,-0.032952,0.026961,-0.027621,-0.029201,-0.047296,0.024278,-0.044257,-0.021173,-0.0030853,0.025034,0.0032364,0.031978,-0.043113,0.062449,-0.0065509,0.012061,0.010557,0.18943,-0.049273,0.022609,0.034068,-0.044657,-7.0211e-05,-0.029608,-0.091843,0.0047254,0.078847,-0.044713,-0.0021631,0.11342,-0.090103,-0.033049,-0.07553,-0.032914,-0.08769,-0.07462,-0.042489,0.10868,0.0084942,-0.18613,-0.18182
"Lipoamide",0.010627,0.0041534,0.019891,0.020873,-0.019709,0.020665,-0.0079437,-0.0038754,0.022951,0.010062,0.0013222,0.0049224,-0.0069312,-0.018121,-0.023934,0.01213,-0.0044302,-0.0094961,0.0060347,0.0016096,0.009649,0.016784,-0.0013027,-0.009275,-0.015724,0.035366,0.0083049,0.0032164,-0.0024114,-0.011074,-0.048409,0.019873,-0.031821,-0.012905,0.003428,-0.00072102,-0.041807,0.010768,0.031541,-0.00050612,0.061872,0.074252,-0.050294,0.0047057,0.049026,0.0037198,0.025151,-0.077424,0.077289,-0.065771,0.052022,-0.015092,0.041406,-0.016796,0.034239,0.054476,-0.10067,-0.0014419,-0.047864,0.047384
"Lysine",0.05279,-0.2504,0.010819,-0.1788,0.20947,-0.21095,-0.12868,-0.041814,-0.109,0.055907,0.042286,0.010285,0.06858,0.0076584,0.018219,-0.2388,0.0059593,-0.16151,-0.16833,-0.0659,-0.038416,0.058547,0.026381,0.024932,-0.050364,0.007213,-0.021501,-0.092557,0.030245,0.058929,-0.093516,-0.061714,0.045268,0.036185,-0.12499,0.01377,-0.018033,0.02397,-0.10098,0.013945,0.1336,-0.020554,0.0082052,0.13182,0.15732,0.047252,-3.8891e-05,-0.042264,0.11782,-0.012179,-0.033818,0.10375,0.0098747,0.025252,0.10798,0.051639,0.031134,-0.096272,-0.0067042,0.026805
"Maleic acid",-0.0094695,0.02061,0.017907,-0.11997,0.052466,0.047188,0.020994,-0.10572,0.11236,0.04719,0.11135,0.11642,0.0046699,-0.017611,-0.019023,0.099583,-0.11009,-0.074498,-0.10524,0.11381,-0.045321,-0.060051,0.068942,-0.13529,-0.058062,-0.030135,-0.04116,0.063782,-0.035656,0.17493,-0.17727,0.122,-0.25267,0.13492,-0.029765,0.037639,-0.062445,-0.12935,0.089327,-0.028262,0.047714,0.096479,0.047984,-0.19077,-0.088019,-0.14898,-0.055842,-0.18433,0.11195,0.05292,0.040518,-0.11903,-0.098834,0.064189,0.034603,0.041185,0.075179,0.040511,0.020044,0.024268
"Malic acid",-0.019512,0.024105,-0.0052186,0.027478,-0.002946,0.02136,0.014041,-0.074764,0.013533,0.016181,0.010749,0.021864,0.015373,0.015536,0.0292,-0.0042549,0.074033,0.0048079,-0.022561,-0.016952,-0.023225,-0.038967,-0.034118,-0.039905,-0.01961,-0.042575,-0.033666,-0.014985,0.026542,0.074998,0.0073682,-0.057355,-0.067691,0.039306,-0.037825,-0.034645,-0.014504,-0.08746,0.051741,0.038482,0.0059864,-0.12704,0.019315,-0.11063,-0.056951,-0.083231,0.0115,-0.05463,-0.13221,0.028702,-0.080119,0.074861,0.030065,0.22114,0.15097,0.030961,-0.11262,-0.061646,-0.0093775,-0.0053587
"Malonic acid",-0.084694,0.097625,-0.075535,0.0059708,0.11768,-0.070125,-0.077678,-0.048304,-0.088112,0.013336,0.061378,0.083156,-0.11697,0.054297,0.19748,-0.088044,0.082823,-0.0063864,-0.048086,0.16198,0.073228,0.22549,0.012743,0.01335,-0.058947,0.045327,-0.10565,-0.063629,-0.14527,-0.021312,6.883e-05,-0.16317,-0.11822,-0.10364,0.26217,0.018671,-0.045987,0.20267,0.070702,0.035545,-0.17651,-0.04422,-0.033279,0.13733,-0.12076,0.012073,-0.25434,-0.067392,-0.051515,0.081085,0.13668,0.021261,0.038963,-0.018697,0.057243,-0.15471,-0.072322,0.010422,-0.19615,-0.033315
