"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46","PC47","PC48","PC49","PC50","PC51","PC52","PC53","PC54","PC55","PC56","PC57","PC58","PC59","PC60"
"Threonine",0.0089719,-0.0019337,-0.019948,-0.0069206,-5.4812e-05,0.0010789,0.033845,0.0035638,0.00075838,-0.0037956,-0.029725,-0.020638,0.028642,-0.0031541,-0.043787,0.0075394,0.034327,0.0079307,0.050224,0.0029167,-0.0032504,0.02773,0.017918,0.034191,-0.033121,-0.00079617,-0.045905,0.0026932,-0.0073983,0.016526,-0.024723,0.0094912,-0.0063984,0.037674,0.0012922,0.048858,-0.0072704,0.013434,-0.013564,-0.0089609,-0.015478,0.048982,-0.025957,0.022919,-0.019388,-0.017403,0.038058,0.10158,0.0022233,0.06652,0.084559,-0.069305,0.06171,-0.13492,0.042119,0.033759,-0.16042,-0.19248,-0.060251,-0.20248
"Thymine",0.023495,0.043091,0.064358,-0.017831,0.13193,0.059077,0.017626,0.0085375,0.016225,-0.039972,-0.0075893,-0.057021,0.083628,0.012468,-0.019093,-0.015339,0.094832,-0.039016,-0.0045931,0.0274,0.15482,-0.16044,-0.072419,0.12696,-0.053668,-0.063816,-0.089287,-0.20863,-0.059406,0.092664,-0.057259,-0.02897,-0.021009,-0.047278,-0.17917,-0.0090707,-0.20093,-0.087255,-0.094153,-0.049648,-0.095234,-0.12919,-0.10125,0.099471,-0.012879,0.078233,0.053104,0.0011058,0.1158,-0.0071827,-0.15446,-0.090389,0.00465,-0.10386,-0.061669,0.025877,-0.061505,0.10071,-0.033263,0.0043342
"Tryptophan",-0.0021617,0.00014223,-0.016346,0.022425,-0.0037651,0.038756,0.0011395,0.02419,0.016145,-0.033563,0.013099,0.032428,0.010375,-0.036638,0.020353,-0.040483,-0.0094626,-0.015,-0.0028541,-0.052364,0.002711,0.034344,-0.02652,-0.039066,0.0087797,0.024624,0.011023,-0.0013787,-0.062508,-0.0049174,0.02713,0.084495,-0.059671,0.010401,0.01929,-0.012264,0.017846,0.031384,0.0052489,-0.037682,-0.10014,0.10552,0.077654,-0.13068,0.18493,-0.048097,-0.14506,0.063639,0.074949,0.067643,-0.054277,0.038139,0.087546,-0.042523,0.099177,-0.043396,0.02461,-0.095613,0.01832,0.17726
"Tyrosine",-0.00055774,0.012487,-0.0053801,0.029105,-0.0017585,0.019103,0.020265,0.0058785,-0.015005,-0.025152,-0.022723,0.00041102,0.015084,0.027549,0.012829,-0.070318,-0.027548,0.014019,0.054955,0.010668,0.022013,0.092747,-0.0060005,0.0040059,0.0099977,-0.075412,-0.053018,-0.0013923,0.08557,0.013562,-0.026837,0.025321,-0.0061932,0.078784,-0.043087,0.085887,-0.0099983,0.0097041,0.072944,0.0016385,-0.099499,-0.0096279,-0.021118,-0.080933,-0.0081326,0.031987,-0.17461,0.062203,-0.066263,0.10748,0.1377,-0.0028626,-0.027839,-0.15943,-0.047637,-0.029085,-0.013599,-0.051538,0.087356,-0.018711
"Uracil",0.00066034,0.014509,-0.029418,0.041813,-0.0031865,-0.0038248,-0.012257,0.035879,0.037645,0.042071,-0.0159,-0.0042185,-0.029511,-0.0025469,0.027944,0.031982,-0.022899,-0.053644,0.098046,-0.01694,0.0075844,-0.019474,-0.033248,0.051199,-0.16299,0.017324,0.045766,-0.0026564,-0.064975,-0.029076,-0.099478,-0.13519,0.0014839,0.079616,0.10967,0.077206,-0.056783,0.01415,-0.12941,-0.014282,0.040854,0.17911,-0.015245,-0.021574,-0.063609,0.27432,0.017791,0.063547,0.03044,-0.015718,0.11177,-0.19885,-0.10279,0.087611,-0.040103,-0.31669,-0.11077,-0.19555,0.22082,-0.028352
"Uric acid",0.012123,0.031302,0.034339,0.067172,-0.050043,-0.035184,-0.014021,0.020042,-0.083743,0.032467,-0.004472,-0.043253,0.016816,-0.039537,2.7556e-05,-0.027525,0.040611,-0.041315,-0.003408,-9.3783e-05,0.018259,-0.032808,0.03656,0.081128,-0.037977,0.047763,0.11978,0.079396,0.052472,-0.11011,0.098024,0.061981,0.087896,-0.0088343,-0.14367,-0.026908,-0.090459,-0.02309,0.12611,0.23502,-0.013981,-0.095352,-0.0061491,0.17987,-0.059614,0.00902,0.048919,0.039892,-0.03022,-0.038316,0.05689,0.028298,-0.066799,-0.019086,0.10984,-0.086495,-0.095356,0.12781,-0.021263,-0.14728
"Uridine",-0.02384,0.019984,-0.046816,0.025024,-0.027711,0.01259,-0.00043471,0.0091121,-0.0099061,-0.036559,0.070303,0.0053978,-0.042846,0.021827,-0.085643,0.032225,-0.034474,-0.059605,0.10282,-0.13024,-0.013365,-0.0068746,0.018886,0.103,-0.012997,0.10338,-0.038897,-0.043252,0.038969,0.0067406,-0.10588,-0.25289,-0.15179,-0.053668,0.020676,-0.21959,0.032481,0.13918,-0.039028,0.040702,0.048805,-0.11455,0.096329,-0.088281,-0.016209,-0.050414,-0.038879,0.14672,0.053382,0.041715,-0.026166,0.047032,0.03126,0.068796,-0.07015,-0.046628,-0.014871,0.012989,0.016361,0.17271
"Uridine diphosphohexose",0.00095381,-0.01962,-0.06373,0.016395,-0.093972,0.048429,-0.04533,-0.04648,-0.10575,0.022573,-0.038841,0.11653,0.059344,-0.075377,0.043862,0.052065,-0.013429,-0.010376,-0.017175,-0.070875,0.12248,0.027734,0.024188,-0.30144,-0.11242,-0.026013,-0.023297,-0.031931,0.030644,-0.1829,0.013851,0.058538,0.014535,0.25439,0.15879,-0.21799,-0.13342,0.11636,-0.089418,0.26572,0.074464,0.016976,-0.0027108,-0.017721,-0.026338,-0.11931,0.003235,0.15184,-0.1095,0.070906,-0.065471,-0.19912,0.13552,0.055978,0.053484,0.087238,0.16753,-0.094248,0.093238,-0.058619
"Uridine monophosphate",-0.0085852,0.023884,-0.026786,0.040032,-0.033032,0.024945,-0.027785,-0.028634,-0.054798,-0.014779,0.023021,0.050117,-0.0082016,0.0021792,0.10558,0.056842,0.02921,-0.056238,-0.0071647,-0.0049588,0.051465,0.01074,0.088586,0.02764,-0.048136,-0.03284,0.089373,0.046645,0.036462,0.0045914,-0.018067,0.0017054,0.035726,0.16098,-0.068284,-0.067506,-0.010585,-0.055765,0.12163,-0.009251,-0.044831,-0.11942,0.087187,0.027322,0.056663,0.13265,0.13725,0.026577,0.024309,0.06894,-0.04118,0.10385,0.15227,0.01559,-0.16677,-0.0037102,0.040875,0.017689,-0.041886,0.14908
"Valine",0.0028174,-0.0039431,-0.01017,0.0072256,-0.011983,-0.0072367,-0.028447,-0.0017924,0.0071149,-0.0064093,0.028471,0.050586,-0.035311,0.023164,0.011636,-0.0041857,0.0043265,-0.0010291,0.0039801,-0.0099999,0.0060805,-0.021089,-0.020816,-0.045025,-0.023057,-0.02455,-0.032885,0.042588,-0.011367,0.010559,0.058349,-0.035015,0.050947,-0.021355,0.0077204,0.028711,0.090822,-0.045792,0.011173,0.084621,-0.087816,0.024959,0.015475,-0.076121,0.035359,0.030856,-0.050307,-0.010771,-0.00090985,0.022501,0.04112,-0.029933,-0.010805,0.048308,-0.057243,0.043866,0.027727,-0.013916,-0.05315,0.13998
"Vanillic acid",-0.004013,-0.0057941,0.015732,-0.017956,-0.2439,0.0013563,0.042945,-0.023321,0.13947,0.025748,-0.10147,0.091887,0.17557,-0.23003,0.13472,-0.31227,-0.28346,-0.10678,0.069816,-0.14227,0.36314,0.12244,-0.11267,0.23486,0.016733,0.060924,-0.10561,-0.015902,-0.074639,0.1481,-0.090827,0.26034,-0.042295,0.05766,0.10507,-0.032473,0.11948,0.01663,0.073268,0.077742,0.010323,-0.055059,-0.03328,-0.01135,0.055522,-0.00012993,0.037779,0.037892,-0.0055396,-0.045868,0.07764,-0.0038497,0.014102,-0.0060883,-0.056014,-0.038892,-0.018209,0.050907,-0.040489,-0.0058811
"Xanthine",-0.047516,0.056641,0.010648,-0.029103,0.061965,7.1005e-05,0.039822,-0.050239,-0.016731,-0.076942,-0.0033574,0.038809,-0.082158,0.022372,-0.047966,-0.014892,0.012327,-0.043685,-0.0014048,-0.02868,0.076246,-0.10931,0.069366,0.057772,-0.0049113,-0.0053011,-0.07829,-0.048154,-0.026413,0.037241,0.018496,-0.014832,-0.033413,0.05034,0.097072,-0.017277,0.016257,0.14049,-0.0022694,0.024814,-0.014189,-0.048373,0.032002,-0.017495,0.012923,-0.040667,0.022408,0.11724,0.073256,0.065232,0.017262,-0.18158,-0.05868,-0.33036,-0.03481,-0.036726,0.062365,0.22987,-0.10481,-0.043568
"Xanthosine",-0.0054091,0.039928,0.052655,-0.0025192,0.073709,-0.065337,0.12635,-0.056098,-0.05787,-0.06895,0.024399,-0.043978,-0.0364,-0.0026105,-0.12426,-0.026591,0.0012966,-0.091096,0.066398,0.0657,0.11978,0.011195,-0.062288,0.15818,-0.021181,-0.11467,-0.019798,0.025965,0.085374,-0.069088,0.16145,-0.022328,0.13324,-0.15336,-0.08322,0.035894,-0.027669,0.13639,-0.063007,0.061639,-0.04412,-0.089702,0.064511,-0.073542,-0.08365,-0.17963,0.12049,0.058774,0.078782,0.16238,-0.076739,0.013318,0.023358,0.014291,0.039594,-0.0029428,0.099347,-0.038319,-0.085734,0.032272
"Xylitol",0.023151,0.025567,0.066124,-0.014171,-0.11385,-0.03917,0.12809,0.0042578,-0.045172,0.022146,-0.0014245,-0.019755,-0.043834,-0.041888,-0.061005,-0.018802,0.023321,-0.010957,0.053356,0.12376,0.011452,0.088194,0.01605,-0.051431,0.036254,-0.027248,0.10167,-0.012985,0.096516,-0.056717,0.016045,-0.0067211,-0.0060471,-0.0070981,0.020237,0.020324,-0.047404,0.071402,0.035931,0.002946,-0.092592,0.12098,-1.9447e-05,0.11135,-0.0088588,0.01801,-0.048918,0.032025,-0.020925,0.0021188,-0.01126,0.041271,-0.23775,0.081395,-0.010637,0.18844,-0.012721,0.11644,0.20282,0.052879
"Xylulose 5-phosphate",0.07919,-0.14756,0.080395,0.14629,0.12875,0.053406,0.036449,0.073304,0.1079,0.015916,0.14339,0.080382,-0.14118,0.065888,-0.14684,-0.10097,0.061466,-0.00537,0.060196,-0.24076,0.0086154,-0.16021,-0.030124,0.069641,0.050178,0.12529,0.097626,0.20632,-0.03896,0.00039077,-0.2127,0.049291,0.16648,-0.081255,-0.036672,-0.070596,0.011592,-0.0082374,0.10916,-0.020229,-0.099768,0.061407,-0.090163,-0.090501,-0.16168,0.21203,-0.042721,0.057053,-0.11296,0.23679,0.035316,0.049694,0.13697,0.049614,-0.032065,-0.0057819,0.050958,0.11138,-0.077698,0.0060793
